category_code,service_code,display_name
ELECTRICIAN,HOME_WIRING_INSTALLATION,Home Wiring Installation
ELECTRICIAN,HOME_REWIRING,Home Rewiring
ELECTRICIAN,SWITCHBOARD_INSTALLATION,Switchboard Installation
ELECTRICIAN,SWITCHBOARD_REPAIR,Switchboard Repair / Replacement
ELECTRICIAN,MCB_BOX_INSTALLATION,MCB / Distribution Box Installation
ELECTRICIAN,FUSE_BOX_REPAIR,Fuse Box Repair / Replacement
ELECTRICIAN,SHORT_CIRCUIT_REPAIR,Short Circuit / Tripping Repair
ELECTRICIAN,FAN_INSTALLATION,Ceiling / Wall Fan Installation
ELECTRICIAN,FAN_REPAIR,Fan Repair
ELECTRICIAN,CEILING_FAN_INSTALLATION,Ceiling Fan Installation
ELECTRICIAN,EXHAUST_FAN_INSTALLATION,Exhaust Fan Installation
ELECTRICIAN,LIGHT_FIXTURE_INSTALLATION,Light / Fixture Installation
ELECTRICIAN,LIGHT_FIXTURE_REPAIR,Light / Fixture Repair
ELECTRICIAN,LED_LIGHT_INSTALLATION,LED Light Installation
ELECTRICIAN,TUBE_LIGHT_INSTALLATION,Tube Light Installation
ELECTRICIAN,CHANDELIER_INSTALLATION,Chandelier Installation
ELECTRICIAN,DOORBELL_INSTALLATION,Doorbell Installation
ELECTRICIAN,DOORBELL_REPAIR,Doorbell Repair
ELECTRICIAN,INTERCOM_WIRING,Intercom Installation / Wiring
ELECTRICIAN,INVERTER_INSTALLATION,Home Inverter Installation
ELECTRICIAN,INVERTER_REPAIR,Inverter Repair
ELECTRICIAN,STABILIZER_INSTALLATION,Voltage Stabilizer Installation
ELECTRICIAN,GENERATOR_WIRING,Generator Wiring
ELECTRICIAN,GENERATOR_REPAIR,Generator Repair
ELECTRICIAN,GEYSER_WIRING_INSTALLATION,Geyser Electrical Connection
ELECTRICIAN,WATER_HEATER_WIRING,Water Heater Wiring
ELECTRICIAN,AC_POINT_INSTALLATION,AC Power Point Installation
ELECTRICIAN,AC_WIRING,AC Wiring
ELECTRICIAN,WASHING_MACHINE_POINT_INSTALLATION,Washing Machine Power Point
ELECTRICIAN,REFRIGERATOR_POINT_INSTALLATION,Refrigerator Power Point
ELECTRICIAN,MICROWAVE_POINT_INSTALLATION,Microwave Power Point
ELECTRICIAN,KITCHEN_CHIMNEY_WIRING,Kitchen Chimney Electrical Connection
ELECTRICIAN,MODULAR_SWITCH_INSTALLATION,Modular Switch Installation
ELECTRICIAN,MODULAR_SWITCH_REPAIR,Modular Switch Repair
ELECTRICIAN,EXTENSION_BOARD_WIRING,Extension Board Repair / Wiring
ELECTRICIAN,EXTENSION_BOARD_REPAIR,Extension Board Repair
ELECTRICIAN,WALL_SOCKET_INSTALLATION,Wall Socket Installation
ELECTRICIAN,WALL_SOCKET_REPAIR,Wall Socket Repair / Replacement
ELECTRICIAN,EARTHING_INSTALLATION,Home Earthing Installation
ELECTRICIAN,EARTHING_REPAIR,Earthing Repair
